collection,venueType,feature,category,definition
occupant,,occupant,juicebar,Businesses that specialize in the sale of smoothies and fruit and vegetable juices. 
occupant,,occupant,kaiseki,"A restaurant serving meals in the style of kaiseki, a traditional multi-course Japanese dinner. Kaiseki is analogous to Western haute cuisine."
occupant,,occupant,karaoke,"Karaoke is the singing of popular songs with prerecorded backing tracks, this may be in private rooms or in front of an audience"
occupant,,occupant,kashmiri,"Eateries serving Kashmiri food, characterized by mild spices and rich flavors with a variety of meat preparations. Popular dishes include Rogan Josh, Yakhni and Dum Aloo. Equally popular is the Kahwah - a green tea made with saffron, spices and walnuts."
occupant,,occupant,kebab,"Any restaurant or eatery specializing in kebabs, typically consisting of grilled meats prepared for a variety dishes of Middle East and Central Asian origin. "
occupant,,occupant,kidsactivities,Outdoor and indoor establishments offering play activities for children. 
occupant,,occupant,kimonos,A store that sells traditional Japanese garments called Kimonos.
occupant,,occupant,kindergarten,"A kindergarten is a preschool educational approach traditionally based on playing, singing, practical activities such as drawing, and social interaction as part of the transition from home to school. In Japan, it is governed by the Ministry of Education, Culture, Sports, Science and Technology is run 4 hours a day for children ages 3-6."
occupant,,occupant,kiosk,
occupant,,occupant,kiosk.food,"A booth with an open window on one side selling small, inexpensive consumables."
occupant,,occupant,kitchenandbath,"A business that sells items related to kitchens and bathrooms. This includes fixtures and faucets, appliances and hardware, as well as items used in those two spaces."
occupant,,occupant,kitchenincubator,Shared kitchen facilities available for rent and generally utilized by caterers and other food preparation and production companies that lack their own kitchen facilities.
occupant,,occupant,knifesharpening,A business or individual providing knife sharpening services.
occupant,,occupant,knittingsupplies,"A shop that specializes in all thing knitting: yarn, needles, sewing patterns"
occupant,,occupant,kopitiam,"A traditional coffee shop found in Southeast Asia and patronized for meals and beverages. Menus typically feature simple offerings: a variety of foods based on egg, toast, and kaya, plus coffee, tea, and Milo, a malted chocolate drink. The kopi (coffee) is the specialty and can be ordered in a variety of ways, including extra thick, extra thin or with condensed milk."
occupant,,occupant,korean,An establishment specializing in Korean cuisine
occupant,,occupant,kosher,An establishment serving food that is in line with Jewish food practices. 
occupant,,occupant,kurdish,"A restaurant specializing in the cuisine prepared by the people of Kurdistan. Staples of Kurdish cuisine include berbesel, biryani, dokliw, kullerenaske, kutilk, kuki, birinç, and a variety of salads, pastries, and drinks specific to different parts of Kurdistan."
occupant,,occupant,laboratorytesting,"Medical businesses that specialize in testing samples from people, such as of blood and urine."
occupant,,occupant,landmark,Items in this category are spaces and places of significance and history.
occupant,,occupant,landmark,Models the presence and approximate point location of a recognizable or substantial natural or artificial feature that is useful for pedestrian navigation or orientation.
occupant,,occupant,landscaping,A licensed professional the designs and develops the landscapes of residential and/or commercial properties.
occupant,,occupant,languageschool,"Schools that specialize in providing formal exposure to foreign languages, or in the refinement of native languages."
occupant,,occupant,laotian,A restaurant specializing in the cuisine of Laos.
occupant,,occupant,laotian,An establishment specializing in Laotian cuisine
occupant,,occupant,lasereyesurgery,"Doctors or medical practices that perform laser eye surgery (Lasik), a procedure that reshapes the cornea and reduces the need for glasses. Most often performed by an ophthalmologist."
occupant,,occupant,lasertag,"Businesses or facilities where laser tag is played, indoor and outdoor recreational activity where players attempt to score points by tagging targets with hand-held infrared devices."
occupant,,occupant,latinamerican,An establishment specializing in Latin American cuisine
occupant,,occupant,laundromat, A fully automated and coin-operated facility where clothes are washed and dried. 
occupant,,occupant,laundryservices,Businesses or locations that offer dry cleaning and laundry services or have laundry machines available for individual use.
occupant,,occupant,lawyer,An individual or business that practices law. If possible please put the business in specialized sub categories rather than this generic category
occupant,,occupant,lawyer.business,A lawyer or law firm with expertise in legal aspects of conducting business. 
occupant,,occupant,lawyer.criminaldefense,A lawyer or law firm with expertise in criminal defense. 
occupant,,occupant,lawyer.divorce,A lawyer or law firm with expertise in divorce proceedings and other family law areas
occupant,,occupant,lawyer.estateplanning,"A lawyer or law firm with expertise in estate planning, management and transfer when a party dies."
occupant,,occupant,lawyer.immigration,A lawyer or law firm with expertise in immigration law.
occupant,,occupant,lawyer.litigation,A lawyer or law firm with expertise in litigation. Not a category for lawyers who practice law across multiple fields.
occupant,,occupant,lawyer.personalinjury,A lawyer or law firm with expertise in personal injury law
occupant,,occupant,lawyer.realestate,A lawyer or law firm with expertise in real estate law.
occupant,,occupant,lawyer.tax,A lawyer or law firm with expertise in tax law.
occupant,,occupant,lawyer.willtrustprobate,
occupant,,occupant,lawyer.workerscomp,A law office or lawyer (barrister/attorney/solicitor) who advises and represents others in legal matters pertaining to workers compensation (e.g. on-the-job accidents and occupational diseases).
occupant,,occupant,leathergoods,A business specializing in items made from leather
occupant,,occupant,lebanese,An establishment specializing in Lebanese cuisine
occupant,,occupant,legalservices,"A business or organization who provide services related to legal matters, but are not lawyers themselves."
occupant,,occupant,library,"A building or room where media is collected for people to read, borrow, and reference. Traditionally this is mostly books, but may also include other media too."
occupant,,occupant,library,Models the presence and physical extent of an enclosed area containing sources of information.
occupant,,occupant,lifecoach,An individual who provides motivational guidance to improve client's lives
occupant,,occupant,lighting,"A business with expertise in lighting systems, including their design, installation and repair."
occupant,,occupant,ligurian,"A restaurant specializing in the cuisine of Liguria, a coastal region of northwestern Italy. Ligurian cuisine is characterized by a strong use of herbs, lack of tomatoes and red or black peppers, and preparations of seafood and stuffed vegetables."
occupant,,occupant,limo,A company that provides transportation services by limousines.
occupant,,occupant,limo,Models the presence and approximate point location of a limousine service.
occupant,,occupant,linens,"A business that sells fabric goods such as bedding, tablecloths and towels."
occupant,,occupant,lingerie,A business specializing in lingerie and related accessories
occupant,,occupant,livestocksales,"An open space where people regularly gather for the purchase and sale of provisions, livestock, and/or other goods."
occupant,,occupant,localservices,
occupant,,occupant,locksmith,Businesses that offer lock installation and repair services for both properties and autos.
occupant,,occupant,lotterystand,"Primarily in Japan, lotteries are sold at designated lottery stands that only sell lotteries. Can be found in other Asian countries, too."
occupant,,occupant,loungebar,A relaxed social space usually filled with lounges. Typically fancier than your average bar and more relaxed than a nightclub.
occupant,,occupant,luggage,A business that specializes in the sale of travel items like suitcases.
occupant,,occupant,luggagestorage,A staffed location where one can temporarily store one's luggage so as to not have to carry it. These are often found inside or near airports.
occupant,,occupant,macaron,"Food shops specializing in macarons, a pastry made with egg whites and almond powder; not to be confused with macaroons, which are made with coconuts. "
occupant,,occupant,magicians,Groups or individuals that specialize in performing magic tricks.
occupant,,occupant,mailboxcenter,Businesses and locations that have PO boxes available to customers and may also include other types of commercial mail receivers.
occupant,,occupant,makeupartist,"Businesses or individuals who specialize in the application of makeup, such as lipstick, blush, and eye shadow."
occupant,,occupant,malaysian,An establishment specializing in Malaysian cuisine
occupant,,occupant,mamak,Typically a type of stall or food vendor found in Malaysia serving Mamak food. Malaysian Mamak are Malaysians of Tamil Muslim origin and thus their ingredients and techniques are a fusion of these two regions and generally don't include pork. May also be used for restaurants inspired by Mamak culinary traditions.
occupant,,occupant,manicurists,
occupant,,occupant,marketing,A business or service designed to promote products or other businesses. This includes market research and advertising.
occupant,,occupant,martialarts,"Individuals or organizations offering instruction or faciitlies for the practice of martial arts (e.g. karate, kung fu, ju-jitzu, taekwondo, judo)."
occupant,,occupant,massageschool,Schools specializing in the instruction of medical and therapeutic body massage techniques.
occupant,,occupant,massagetherapist,"Businesses or individuals who specialize in the rubbing and kneeding of muscles and joints of the body with the hands, especially to relieve tension and for the purpose of relaxation."
occupant,,occupant,massagetherapy,"Businesses providing massage for strictly medical purposes (as opposed to general relaxation). Most treatments are for carpal tunnel, fibromyalgia, spinal injuries and muscle strain."
occupant,,occupant,maternitywear,A business selling clothing designed for pregnant women
occupant,,occupant,mattresses,"A business that specializes in the sale of beds, bed frames and mattresses. "
occupant,,occupant,mauritian,"A restaurant that specializes in Mauritius cuisine (regional food from the Republic of Mauritius), which has strong Indian, European, French, Creole, African, and Chinese influences and is typically spicy. Common dishes/foods include curry (cari), mine-frit, niouk nien, roti, gateau piment, fruit salad, millionarie's salad, rougaille, vindaye, dholl puris, and achard."
occupant,,occupant,meatballs,A restaurant specializing in the preparation of meatballs.
occupant,,occupant,medicalcenter,"Large facilities, slightly different than hospitals, though serving many of the same purposes, where medical care is administered, typically for continuing treatment and specialized care. Do not use for small medical practices or urgent care facilities."
occupant,,occupant,medicalspa,"Businesses offering multiple high-quality personal care treatments, such as massage, facials, nail care and waxing, in a relaxing atmosphere. Can be used with MedSpas in special cases. "
occupant,,occupant,medicalsupplies,"A business that sells medical supplies, does not offer medication, treatment or diagnosis."
occupant,,occupant,mediterranean,An establishment specializing in cuisine from the Mediterranean
occupant,,occupant,mexican,An establishment specializing in Mexican cuisine
occupant,,occupant,mexican.easternmexican,A restaurant specializing in the cuisine of the Gulf Coast of Eastern Mexico and primarily originating from the states of Veracruz and Tabasco.
occupant,,occupant,mexican.jaliscan,"A restaurant specializing in cuisine from the Mexican state of Jalisco, a state whose gastronomy is known for its pozole, sopitos, menudo, guacamole, cuachala, birria, pollo a la valenciana and tortas ahogadas"
occupant,,occupant,mexican.modern,"**Does not mean modern Mexican cuisine; refers to the regional cuisine from the US state of New Mexico** A food establishment specializing in New Mexican cuisine, a fusion of Spanish and Mediterranean, Mexican, Pueblo Native American, and Cowboy Chuckwagon influences with red and green chiles as defining ingredients. Popular dishes include carne adovada, posole, green chile stew, calabacitas, stuffed sopapilla, and biscochitos. (Note: New Mexican food is not the same as Mexican and Tex-Mex foods preferred in Texas and Arizona. New Mexico is the only state with an official question‚""red or green?""‚ referring to the choice of red or green chile.)"
occupant,,occupant,mexican.northernmexican,"A restaurant specializing in the gastronomy of Northern Mexico, including the serving of grilled meats, different cheeses, and wheat tortillas."
occupant,,occupant,mexican.oaxacan,"A restaurant specializing in cuisine from the Mexican state of Oaxaca, a state whose gastronomy is known for its ""seven moles,"" chapulines, Oaxaca tamales in banana leaves, tasajo and mescal."
occupant,,occupant,mexican.pueblan,"A restaurant specializing in cuisine from the Mexican state of Puebla, a state whose gastronomy is best known for cemitas, mole poblano, chiles en nogada and chalupas."
occupant,,occupant,mexican.yucatan,A restaurant specializing in cuisine from the Yucatán peninsula in southeastern Mexico.
occupant,,occupant,middleeastern,An establishment specializing in cuisine from the Middle East
occupant,,occupant,militarybase,A place used as a center of operations by the armed forces or other military forces;
occupant,,occupant,milkbar,"A suburban local general store or café, common in Australia, where people pick up milk and newspapers, and fast-food like fish and chips and hamburgers, and where people can purchase milkshakes or lollies."
occupant,,occupant,milkshakes,"A counter or place where a frothy drink made of cold milk, flavoring, and usually ice cream, shaken together or blended in a mixer are sold to customers. "
occupant,,occupant,minigolf,"Courses designated for the sport of miniature golf, novelty form of golf focusing on putting and obstacles. "
occupant,,occupant,mobilephonerepair,A business that specializes in mobile phone repair and related services.
occupant,,occupant,mobilephones,A business that primarily sells mobile phones. May also offer servicing and sell mobile phone accessories as well.
occupant,,occupant,moneytransferservices,Business or entity that facilitates the transfer of funds between individuals or businesses.
occupant,,occupant,mongolian,An establishment specializing in Mongolian cuisine
occupant,,occupant,moroccan,An establishment specializing in Moroccan cuisine
occupant,,occupant,mortgagebroker,"A business that serves as an intermediary between financial borrowers and lenders. The work of specific brokers varies but includes task such as marketing of financial products and services, assessment of prospective borrowers, gathering documents and completing application forms, offering advice to clients and communicating legal disclosures."
occupant,,occupant,motorcyclingclothing,"A business that sells all things associated with motorcycles. Items like helmets, clothing, equipment, etc. Not to be confused with motorcycle dealers who sell motorcycles"
occupant,,occupant,movierental.kiosk,A movie rentalservices kiosk/box.
occupant,,occupant,mughlai,"A restaurant where the menu displays delicacies like biryani, haleem, kebabs and koftas."
occupant,,occupant,museum.art,"A museum specifically for art; an institution that exhibits a collection of artworks such as paintings, photographs, and sculptures. Unlike art galleries, art museums usually have permanent collections or endowments, charge entrance admission, adhere to a mission statement set forth by its founders, and do not try to sell the artworks on a regular basis. Generally speaking, an art museum is a non-profit institution and may be private or public."
occupant,,occupant,museum.children,"A museum specifically for children; an institution that provides exhibits and programs to stimulate informal learning experiences for children. In contrast with traditional museums that typically have a hands-off policy regarding exhibits, children's museums feature interactive exhibits that are designed to be manipulated by children. Most children's museums are nonprofit organizations."
occupant,,occupant,museum.history,An institution that cares for (conserves) a collection of artifacts and other objects of historical importance.
occupant,,occupant,musicalinstruments,A business specializing in the sale of musical instruments and may also offer musical lessons. note that there are also special categories for specialized stores like guitar stores or piano stores.
occupant,,occupant,musicalinstrumentservices,"Businesses or individuals that do not sell but provide specialized services for instruments such as tuning, transport and restoration. Should not be applied to services related to pianos as there is also a piano services category."
occupant,,occupant,musicvenue,Businesses or facilities which primarily offer live music performances and concerts. Includes bars that offer live music performances the majority of operational nights. 
occupant,,occupant,musicvideo,A store specializing in the sale of music and video media (e.g. movies and tv shows)
occupant,,occupant,naga,"Restaurants serving Naga fare are heavily reliant on non-vegetarian food items, Naga food items are either fried, boiled, smoked or fermented; bamboo shoots are a common element in almost all Naga dishes. Popular dishes at Naga restaurants include smoked pork stew, bamboo steamed fish which are served with a wide variety of spicy accompaniments such as crab chili sauce and ghost chili sauce."
occupant,,occupant,nasilemak,A restaurant specializing in a Malay fragrant rice dish cooked in coconut milk and pandan leaf.
occupant,,occupant,naturopathy,"Doctors specializing in natural health, typically Eastern medicine. Do not use for practitioners without an MD license for practicing holistic treatments."
occupant,,occupant,nepalese,Cuisine from the country of Nepal.
occupant,,occupant,newspapersandmagazines,A business specializing in the sale of newspapers and magazines
occupant,,occupant,newzealand,A restaurant specializing in cuisine from New Zealand.
occupant,,occupant,nicaraguan,"A restaurant specializing in Nicaraguan cuisine. Well-known Nicaraguan dishes include nacatamal, vigor—n, indio viejo, quesillo, and sopa de mondongo. Due to its geography, Nicaraguan cuisine can also incorporate Caribbean flavors."
occupant,,occupant,nightfood,A restaurant or eatery known for for operating at late hours when most other establishments have closed or offer limited food selections.
occupant,,occupant,nonprofit,An organization whose purposes is other than making a profit and generally dedicated to furthering a particular social cause or advocating for a particular point of view.
occupant,,occupant,noodles,"A food establishment specializing in serving noodles, a staple food in many cultures made from unleavened dough which is stretched, extruded, or rolled flat and cut into one of a variety of shapes (e.g. waves, helices, tubes, strings, or shells). Noodles can be cooked/served in variety of ways, such as pan-fried, deep-fried, served with an accompanying sauce, or in a soup."
occupant,,occupant,northamerican.traditional,An establishment specializing in traditional American (United States) cuisine.
occupant,,occupant,norwegian,A restaurant specializing in Norwegian cuisine.
occupant,,occupant,notarypublic,"A lawyer or individual with legal training who is licensed to perform acts in legal affairs, such as witnessing signatures on documents."
occupant,,occupant,nurseries.gardening,
occupant,,occupant,nyonya,"A restaurant specializing in Peranakan or Nonya cuisine. Nonya cuisine comes from early Chinese migrants who settled in Penang, Malacca, Singapore and Indonesia and generally consists of Chinese ingredients with various distinct spices and cooking techniques used by the Malay/Indonesian community."
occupant,,occupant,obgyn,Doctors or practices specializing in female reproductive health. 
occupant,,occupant,observatory,Facilities dedicated to the obesrvation of natural or astronmical phenomena. 
occupant,,occupant,occupationaltherapy,"Health care professionals specializing in treatments used to develop, recover, or maintain the daily life and work skills of patients with physical, mental, or developmental conditions."
occupant,,occupant,officebuilding,A single structure used to conduct business.
occupant,,occupant,officeequipmentandsupplies,"A shop that specializes in items intended for everyday use by businesses. Pens, paper, printing, office equipment, etc."
occupant,,occupant,okinawan,"A restaurant specializing in Okinawan cuisine. Also known as Ryukyuan cuisine, Okinawan cuisine differs from mainland Japanese cuisine in that it includes a stronger influence from Chinese and Southeast Asian cuisines."
occupant,,occupant,oliveoil,A store that primarily sells olive oil. OK to use for olive oil farms.
occupant,,occupant,opensandwiches,"A food establishment that specializes in open face sandwiches, generally slices of bread with one or more food items on top. "
occupant,,occupant,opera.ballet,
occupant,,occupant,opthamalogy,"Medical doctors specializing in surgery and medical treatments of the eye, who have been trained in medical school and can perform eye surgery and provide advanced eye treatments (unlike optometrists)."
occupant,,occupant,opticians,A business specializing in the sale of eyewear (glasses and contacts) and may also offer some eye assessment onsite as well.
occupant,,occupant,optometry,"Doctors specializing in non-surgical care of the eye, typically with eyesight assessment, eyeglasses, and contact lenses. "
occupant,,occupant,oralsurgery,"Should be used exclusively for those dental professionals offering more complex surgical procedures, including dental implants and extraction of wisdom teeth."
occupant,,occupant,organicfood,Stores that specialize in the sale of organic food. They are typically smaller markets that exclusively sell local and organic products. 
occupant,,occupant,oriental,A food establishment serving dishes that utilize a variety of the cooking practices and traditions found throughout Asia.
occupant,,occupant,orthodontics,"A dental professional primarily focused on the diagnosis, prevention and correction of malpositioned teeth and the jaws, usually with the utilization of braces, retainers and related devices."
occupant,,occupant,orthopedics,Doctors that specialize in the care of bones and joints. 
occupant,,occupant,orthotics,Businesses that provide devices to externally modify the functional and structural characteristics of muscles and bones. 
occupant,,occupant,osteopathy,Fully licensed physicians who practice in every medical specialty​.
occupant,,occupant,ottoman,"Ottoman cuisine is the cuisine of Ottoman Turkey and is a fusion and refinement of Central Asian, Middle Eastern and Balkan cuisines. ÒPalace cuisineÓ is also a form of Ottoman cuisine. Some of the most prominent dishes include: HŸnkar be_endi (roasted eggplant puree), mahmudiye (eggs with onion), _eyhŸ-l muh_i (stuffed eggplant), el basan tava (lamb in bechamel sauce), chard with rice, stuffed okra, stuffed melon, grilled lamb meat, tutmaç soup (yogurt soup with lamb meatballs), dane-i saru pilavõ (pilaf made with saffron), dane-i ye_il pilavõ (pilaf made with spinach, mint, parsley, dill, celery stalks), kubuni pilavõ (rice with almond and raisins), †zbek pilav (rice with lamb meat, onion, tomato, carrot), oven-cooked fish, grilled turbot, olive oil stuffed grape leaves, olive oil stuffed green peppers, tarhana soup (made of tomatoes and pimentos), ezogelin soup (a spicy red lentil soup), boza (a malt drink, made from fermented wheat), a_ure (a wheat pudding), zerde (saffron-flavored rice pudding), and gŸllaç (a dessert made with milk, pomegranate and a special kind of pasta)"
occupant,,occupant,outdoorfurniture,
occupant,,occupant,outdoorgear,"A business that specializes in the sale of clothing, footwear and equipment designed to be used in the great outdoors and for camping."
occupant,,occupant,outletmall,"An outlet mall (or outlet center) is a type of shopping mall in which manufacturers sell their products directly to the public through their own stores. Other stores in outlet malls are operated by retailers selling returned goods and discontinued products, often at heavily reduced prices."
occupant,,occupant,outletstore,A business offering cheaper than regular price goods. Typically these are factory seconds or clearance items.
occupant,,occupant,oxygenbar,A bar where their primary business is serving oxygen to the public rather than alcohol.
occupant,,occupant,pachinko,"A business specializing in a type of mechanical game originating in Japan, used as both a form of recreational arcade game and as a gambling device. "
occupant,,occupant,packagelocker,Commercial self service lockers or booths for either receiving or dropping off parcels. Examples include Amazon Lockers and DHL Packstations.
occupant,,occupant,packing,A business or individual specializing in packing residential or commercial belongings in preparation for a client's move. They typically do not move the items for the client.
occupant,,occupant,packingsupplies,"A business that primarily sells packing supplies (e.g. boxes, bubble wrap, packing tape, wine shippers, etc.) "
occupant,,occupant,paella,A food establishment that serves primarily rise based dishes of Spanish origin including Paella.
occupant,,occupant,painmanagement,A doctor/professional who specializes in pain management and prevention.
occupant,,occupant,paintandsip,Businesses or individuals that offer painting classes where students drink alcohol while they paint. 
occupant,,occupant,painting,A business or individual that paints both the exterior and interior of buildings
occupant,,occupant,paintstores,A retail location for commercial paints and painting supplies. Not to be confused with a store for artistic painting supplies.
occupant,,occupant,paintyourownpottery,"A business where customers can purchase unpainted already-fired pottery and ceramic pieces (bisque) and paint them onsite. Typically, the business will have a selection of bisqueware to choose from and offer a workspace for customers to paint their selected pieces. After the customer is finished with painting, the business will then fire the bisqueware for completion and the customer can pick it up at a later time. Although most of these businesses will offer basic instruction on how to paint pottery pieces, they should not be categorized under Art Classes."
occupant,,occupant,pakistani,An establishment specializing in Indian cuisine
occupant,,occupant,pakistani,An establishment specializing in Pakistani cuisine
occupant,,occupant,parentingschool,Organizations that provide classes that teach techniques for raising children.
occupant,,occupant,parking,"Locations that provide office space to park vehicles, usually for a fee."
occupant,,occupant,parking,Models the presence and physical extent of a floor whose intended purpose is the storage of vehicles.
occupant,,occupant,parks,"Public outdoor spaces for non-specific leisure activities such as picnics, hiking, and recreational sports. "
occupant,,occupant,parma,A food establishment that serves chicken parmigiana or parma as one of the main dishes. Restaurants specializing in cuisine from the province of Parma in Italy should be listed under the Italian restaurant category Emilian.
occupant,,occupant,parsi,"Heavily influenced by Iranian cuisine, Parsi restaurants are known for their non-vegetarian spread. Popular items include Dhansak, Berry Pulao, Patra ni Machi, Bun-Maska and chai."
occupant,,occupant,partycharacters,"Individuals or businesses offering actors for hire to dress and impersonate popular characters for special events, e.g. birthday parties."
occupant,,occupant,partyequipment.rental,"Businesses that rent party equipment for a fee, e.g. businesses that rent chairs. "
occupant,,occupant,partysupplies,"Businesses that sell goods for celebrations, such as decorations, themed plates and silverware. Do not use for party equipment rentalservices."
occupant,,occupant,passportvisaservices,"A business or individual that specializes in passport and visa services such as applications, renewals, replacements, corrections, and so on."
occupant,,occupant,pasta,"Small shops where fresh pasta is made, e.g. ravioli, tortellini, as opposed to the dry boxed pasta found in supermarkets."
occupant,,occupant,pathology,"A doctor who specializes in the cause and development of diseases and facilitates diagnosis and treatment through examining tissues, checking the accuracy of and interpreting lab tests."
occupant,,occupant,pawn,"A store that accepts goods in exchange for a short term loan of cash. When the loan is not repaid back in time, the good maybe sold. As such these locations also sell items."
occupant,,occupant,paydayloan,Businesses providing short-term loans or check cashing services for a fee.
occupant,,occupant,pediatrics,Doctors specializing in the care of children. 
occupant,,occupant,performingarts,"Art forms in which artists use their voices and/or the movements of their bodies, often in relation to other objects, to convey artistic expression. Examples include ballet, circus skills, clown, magic, dance, mime, opera, puppetry, speech, theatre, ventriloquism"
occupant,,occupant,perfume,A business that sells products consisting of a mixture of fragrant essential oils or aroma compounds. 
occupant,,occupant,periodontics,"A dental professional with expertise in the treatment of gum disease, oral inflammation, and the placement and maintenance of dental implants."
occupant,,occupant,permanentmakeup,"Businesses or individuals specializing in the technique of tattooing pigment on the face to resemble makeup. Examples include eyelining and other permanent pigmentation to enhance the skin of the face, lips, and eyelids. "
occupant,,occupant,persian,An establishment specializing in Iranian cuisine
occupant,,occupant,personalcare,"A person or business offering services related to personal care (bathing, feedings, dressing, etc.) This is usually because the individuals themselves cannot perform these tasks on their own, either due to injury, sickness or age. "
occupant,,occupant,personalshopper,A company or person who will do shopping for you
occupant,,occupant,personaltrainer,Individuals offering one-on-one training through a gym or other sports facility. Also applies to outdoor and indoor bootcamps. 
occupant,,occupant,peruvian,An establishment specializing in Peruvian cuisine
occupant,,occupant,pets,Businesses that specialize in associated care and maintenance of pets
occupant,,occupant,pets,Businesses that trade in live animals for domesticated use or offer associated services
occupant,,occupant,pets.adoption,Businesses that advocates and facilitates the adoption of pets
occupant,,occupant,pets.boarding,An establishment offering temporary accommodations for pets.
occupant,,occupant,pets.grooming,A business or service that washes and grooms pets
occupant,,occupant,pets.photography,A business or individual that specializes in photography for pets and animals.
occupant,,occupant,pets.sitting,A service where someone can look after a pet while the owner is away. Boarding is a facility where the pets will stay. Pet Sitting is where the sitter comes to the pet's home to care for them.
occupant,,occupant,pets.training,A business or service that offers either classes or services to help train pets
occupant,,occupant,pets.transportation,"A business that specializes in providing transportation and travelling services for animals. Typical services include taxi services, pick-up from/drop-off at airports, obtaining necessary documents for travelling, shipping, moving, and so on."
occupant,,occupant,petstore,"A business that sells pet products, like food, pens, cages, collars, etc. May also sell pets too"
occupant,,occupant,petstore.fish,"Establishment that primarily sells fish as pets, often tropical fish. Not to be used for places that sell fish for food."
occupant,,occupant,petstore.reptile,
occupant,,occupant,pharmacy,"The scope of pharmacy practice includes more traditional roles such as compounding and dispensing of medications, and it also includes more modern services related to health care. Category not to be used for drugstore. A drugstore, may be set up as a ""convenience store"", and may sell cosmetics, toiletry items, first-aid supplies and patent medications, such as nonprescription cold medicines."
occupant,,occupant,pharmacystore,"A store that sells non-pharmacy medicines, chemicals, and cosmetics. Category not to be used for pharmacies. A drugstore, may be set up as a ""convenience store"", and may sell cosmetics, toiletry items, first-aid supplies and patent medications, such as nonprescription cold medicines."
occupant,,occupant,phonechargingstation,Station or kiosk in public areas for people to charge cell phones.
occupant,,occupant,photobooth.rental,Businesses that rent photo booths for use at events.
occupant,,occupant,photography,"Businesses or individuals specializing in taking professional photos for events, personal use, or art. "
occupant,,occupant,photography.event,Businesses providing photography for events such as weddings and engagements.
occupant,,occupant,photography.session,"Businesses specializing in session photography, such as portrait sessions, engagement sessions, or headshots, typically at studios or a specific setting."
occupant,,occupant,photographyequipment,A store that sells cameras as well as film for cameras and may process and print photographs as well
occupant,,occupant,photographystore,
occupant,,occupant,physicaltherapy,"A facility that provides professional help with the treatment of disease, injury, or deformity by physical methods such as massage, heat treatment, and exercise rather than by drugs or surgery."
occupant,,occupant,physician,"Medical doctors, also known as physicians. Also applies to group practices of doctors."
occupant,,occupant,piadina,"A restaurant specializing in a thin Italian flatbread, usually made with white flour, lard or olive oil, salt and water. "
occupant,,occupant,pianobar,A venue with a performance space that features someone playing a piano or keyboard
occupant,,occupant,pianostore,A store specialized in piano sales and rentalservices.
occupant,,occupant,pictureframing,A business specializing in the sale of frames. May also offer framing services as well
occupant,,occupant,pilates,"Individuals or organizations offering instruction in the practice of pilates. Businesses in this category are typically highly specialized and contain ""Pilates"" in their name."
occupant,,occupant,pita,"A food establishment, generally serving Mediterranean, Balkan or Middle Eastern cuisine, whose main dishes utilize pita bread, often as wraps or sandwiches."
occupant,,occupant,pizza,An establishment specializing in pizza
occupant,,occupant,placeofworship,"A specially designed structure or consecrated space where individuals or a group of people such as a congregation come to perform acts of devotion, veneration, or religious study. Can include Abbey."
occupant,,occupant,placeofworship.church,A place where people of the Christian faith can congregate and worship
occupant,,occupant,placeofworship.mosque,A place where people of the Muslim faith can congregate and worship
occupant,,occupant,placeofworship.synagogue,A place where people of the Jewish faith can congregate and worship
occupant,,occupant,placeofworship.unitarian,A Unitarian place of worship
occupant,,occupant,planetarium,Dome-shaped facilities dedicated to education about outer space.
occupant,,occupant,plasticsurgery,"A surgeon specialized in the restoration, reconstruction, or alteration of the human body. It can be divided into two categories: reconstructive surgery and cosmetic/aesthetic surgery."
occupant,,occupant,playcenter,An establishment located within a building that offers activities normally associated with recreational pleasure and enjoyment. 
occupant,,occupant,playground,"Outdoor venues for children's play, typically including equipment such as swings and seesaws. For businesses offering playgrounds for a fee, use active.kids_activities."
occupant,,occupant,playsets,A store that primarily sells playsets and swingsets. This can also be used for businesses that construct custom playsets.
occupant,,occupant,plaza,"Urban space, such as a city square, open to the public."
occupant,,occupant,podiatrists,Doctors that specialize in the care of the feet. 
occupant,,occupant,podiatry,"A medical establishment specializing in evaluating and managing disorders of the lower leg, ankle and foot. "
occupant,,occupant,poke,"A food establishment that specializes in poke, a raw fish salad usually made with soy sauce, onions, green onions, and sesame oil. Traditional poke is mostly raw tuna or octopus, but adapations may feature various shellfish or other kinds of fish. Other poke seasonings include chili peper, seaweed, fish eggs, furikake, and wasabi."
occupant,,occupant,poledancingschool,Businesses that offer classes in pole dancing. 
occupant,,occupant,policestation,Base of operations for the police force 
occupant,,occupant,policestation.koban,"A kōban is typically a two-storied housing with a couple of rooms (although there is wide variation), with from one to more than ten police officers.[6] The officers in these buildings can keep watch, respond to emergencies, give directions, and otherwise interact with citizens on a more intimate basis than they could from a more distant station. Although often translated to English as ""police box"",the kōban bears little resemblance to the British police box."
occupant,,occupant,polish,An establishment specializing in Polish cuisine
occupant,,occupant,polish.pierogis,"A food establishment specializing in pierogis, filled dumplings of East European origin."
occupant,,occupant,poolcleaning,A business or individual that provides cleaning and general maintenance on pools or hot tubs.
occupant,,occupant,poolhall,"A venue with a number of pool tables for playing billiards, snooker, etc type games."
occupant,,occupant,pooltablesupplies,A store that specializes in the sale of pool tables and associated supplies. Note that you cannot play pool or billiards in these locations
